Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
msrC3	msrC	P00893	ilvI	21.522907256512955	17
WT1	WT	P00894	ilvH	22.864338910304706	8
WT2	WT	P00894	ilvH	22.862137219959504	9
WT3	WT	P00894	ilvH	22.862049037001995	8
bisC1	bisC	P00894	ilvH	22.629243544872885	8
bisC2	bisC	P00894	ilvH	22.634976628594494	8
bisC3	bisC	P00894	ilvH	22.85619497107805	8
msrA1	msrA	P00894	ilvH	22.910760193501172	9
msrA2	msrA	P00894	ilvH	22.911113622696433	8
msrA3	msrA	P00894	ilvH	22.871251865483373	9
msrB1	msrB	P00894	ilvH	22.482009270837775	8
msrB2	msrB	P00894	ilvH	22.69275840461381	9
msrB3	msrB	P00894	ilvH	22.592502204729975	8
msrC1	msrC	P00894	ilvH	22.548664599820174	8
msrC3	msrC	P00894	ilvH	22.865552147188954	9
WT1	WT	P00895	trpE	23.24136190380647	12
WT2	WT	P00895	trpE	23.287682933617745	13
WT3	WT	P00895	trpE	23.331345604542015	13
bisC1	bisC	P00895	trpE	23.050861658204774	11
bisC2	bisC	P00895	trpE	22.995372530642786	11
bisC3	bisC	P00895	trpE	23.060424320394716	12
msrA1	msrA	P00895	trpE	23.2523406024192	14
msrA2	msrA	P00895	trpE	23.26942549328362	11
msrA3	msrA	P00895	trpE	23.222950519920655	11
msrB1	msrB	P00895	trpE	22.602608938404305	11
msrB2	msrB	P00895	trpE	23.060771122861915	12
msrB3	msrB	P00895	trpE	22.473028891624782	12
msrC1	msrC	P00895	trpE	23.083700868357923	12
msrC3	msrC	P00895	trpE	23.07854370324564	14
WT1	WT	P00903	pabA	22.047123079834794	3
WT2	WT	P00903	pabA	22.07674188977358	4
WT3	WT	P00903	pabA	22.056182402450624	3
bisC1	bisC	P00903	pabA	22.22848639092006	3
bisC2	bisC	P00903	pabA	22.15699976212474	4
bisC3	bisC	P00903	pabA	22.303285213721974	3
msrA1	msrA	P00903	pabA	21.884967174627576	4
msrA2	msrA	P00903	pabA	21.967881025663054	3
msrA3	msrA	P00903	pabA	22.092339383090092	2
msrB1	msrB	P00903	pabA	22.033031069424283	3
msrB2	msrB	P00903	pabA	22.225189046033208	3
msrB3	msrB	P00903	pabA	22.07583997528736	3
msrC1	msrC	P00903	pabA	21.915530033013212	3
msrC3	msrC	P00903	pabA	22.299733318275038	3
WT1	WT	P00904	trpGD	21.78474256429282	10
WT2	WT	P00904	trpGD	21.885333030419496	11
WT3	WT	P00904	trpGD	21.715591922838396	11
bisC1	bisC	P00904	trpGD	21.19908174551761	11
bisC2	bisC	P00904	trpGD	21.360212814005735	10
bisC3	bisC	P00904	trpGD	21.698171787226624	11
msrA1	msrA	P00904	trpGD	21.70263054159786	11
msrA2	msrA	P00904	trpGD	21.840821134292277	10
msrA3	msrA	P00904	trpGD	21.849844593689877	11
msrB1	msrB	P00904	trpGD	21.108441184861956	10
msrB2	msrB	P00904	trpGD	21.399796968369216	11
msrB3	msrB	P00904	trpGD	21.036660600943016	10
msrC1	msrC	P00904	trpGD	21.554222064860408	11
msrC3	msrC	P00904	trpGD	21.51235214835512	11
WT1	WT	P00909	trpC	22.987200073097664	23
WT2	WT	P00909	trpC	23.079100610542806	21
WT3	WT	P00909	trpC	23.055415008637027	23
bisC1	bisC	P00909	trpC	22.849756133274763	22
bisC2	bisC	P00909	trpC	22.78620181463942	24
bisC3	bisC	P00909	trpC	22.90079127755579	20
msrA1	msrA	P00909	trpC	22.95509868183905	22
msrA2	msrA	P00909	trpC	22.87234694922809	22
msrA3	msrA	P00909	trpC	22.965158781640717	22
msrB1	msrB	P00909	trpC	22.54940384833139	22
msrB2	msrB	P00909	trpC	22.728806756073514	22
msrB3	msrB	P00909	trpC	22.663596648174174	23
msrC1	msrC	P00909	trpC	22.71698122672422	22
msrC3	msrC	P00909	trpC	22.62053385830816	23
WT1	WT	P00914	phrB	22.779224899540495	22
WT2	WT	P00914	phrB	23.122020188756817	23
WT3	WT	P00914	phrB	22.962425036526966	23
bisC1	bisC	P00914	phrB	22.901486468696206	20
